symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
605580,恒盛能源,605580.SH,20260306,74.19,地量地价、短期止跌,地量地价,短期止跌,23.4,23.3,0.48,0.1318,1.0081,0.3347,-0.0008,-0.0081,,,,,,,,,,,
688168,安博通,688168.SH,20260306,74.127,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,70.61,69.1,0.375,0.0761,0.265,0.4948,-0.00215,0.0293,,,,,,,,,,,
688218,江苏北人,688218.SH,20260306,74.044,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,20.95,20.56,0.3538,0.0809,0.2282,0.6282,-0.0003,0.0111,,,,,,,,,,,
688602,康鹏科技,688602.SH,20260306,73.81,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,8.3,8.05,0.361,0.0963,0.2462,0.629,-0.00487,0.0272,,,,,,,,,,,
300085,银之杰,300085.SZ,20260306,73.804,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,38.05,36.0,0.385,0.1102,0.4453,0.4541,-0.00244,0.0529,,,,,,,,,,,
002940,昂利康,002940.SZ,20260306,73.749,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,30.73,29.8,0.3741,0.0666,0.4191,0.545,-0.00198,0.0271,,,,,,,,,,,
603633,徕木股份,603633.SH,20260306,73.643,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,8.63,8.42,0.3545,0.0885,0.4382,0.6324,-0.00282,0.0249,,,,,,,,,,,
688013,天臣医疗,688013.SH,20260306,73.566,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,41.66,39.82,0.3874,0.0758,0.4428,0.5926,-0.00075,0.041,,,,,,,,,,,
300879,大叶股份,300879.SZ,20260306,72.929,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,23.6,22.88,0.4082,0.0524,0.3797,0.8128,-0.0087,0.0279,,,,,,,,,,,
002210,飞马国际,002210.SZ,20260306,72.558,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,3.06,3.03,0.3585,0.0856,0.3621,0.7295,-0.00079,0.0033,,,,,,,,,,,
600581,八一钢铁,600581.SH,20260306,72.55,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,2.92,2.85,0.4113,0.0642,0.3022,0.8134,-0.00119,0.0174,,,,,,,,,,,
000718,苏宁环球,000718.SZ,20260306,72.55,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,2.28,2.21,0.392,0.0696,0.1705,0.9493,-0.00276,0.027,,,,,,,,,,,
688596,正帆科技,688596.SH,20260306,71.708,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,31.88,31.78,0.3598,0.1761,0.3312,0.4952,-0.00098,-0.0009,,,,,,,,,,,
688320,禾川科技,688320.SH,20260306,71.639,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,33.54,32.84,0.3846,0.1175,0.281,0.5637,-0.00066,0.0173,,,,,,,,,,,
600748,上实发展,600748.SH,20260306,70.479,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,5.06,5.02,0.3829,0.2646,0.3963,0.3996,-0.00625,0.014,,,,,,,,,,,
300014,亿纬锂能,300014.SZ,20260306,69.995,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,60.3,60.03,0.3615,0.1277,0.2336,0.7676,-0.00033,-0.004,,,,,,,,,,,
