symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date,close,open,chg_pct,limit_pct,is_limit_up,limit_up_streak,up_streak,yang_streak,ret_3d,ret_5d,ret_10d,hard_stop,dist_to_key_pct,in_pullback_zone,vol_ratio_prev,vol_ratio_ma20,ext_to_ma20_pct,category,strategy_hint,detail
603002,宏昌电子,1,2026-02-24,High60,9.92,10.59,11.54,2.144,3,1.1633,2026-02-27,11.54,11.81,-5.33,10.0,0,0,0,0,8.97,19.96,24.76,9.7216,16.33,0,0.827,1.452,19.27,等待回踩,不追高，等待回到关键位附近再评估,距High60+16.3% | 超涨
688170,德龙激光,1,2026-02-24,High60,43.5,46.36,50.63,2.162,3,1.1639,2026-02-27,50.63,51.95,-3.53,20.0,0,0,0,0,9.21,22.74,27.28,42.63,16.39,0,0.924,1.518,20.4,等待回踩,不追高，等待回到关键位附近再评估,距High60+16.4% | 高位放量
301281,科源制药,0,2026-02-24,High60,38.88,39.27,45.3,1.961,3,1.0756,2026-02-27,45.3,42.74,5.96,20.0,0,0,5,5,15.36,23.03,36.57,38.1024,16.51,0,1.173,1.368,28.42,等待回踩,不追高，等待回到关键位附近再评估,距High60+16.5% | 超涨 | 连涨5天 | 连阳5天
600110,诺德股份,1,2026-02-24,MA60,7.1708,7.43,8.39,3.565,3,1.1393,2026-02-27,8.39,8.22,0.84,10.0,0,0,5,6,12.92,23.75,26.55,7.0274,17.0,0,0.591,2.063,18.21,等待回踩,不追高，等待回到关键位附近再评估,距MA60+17.0% | 高位放量 | 连涨5天 | 连阳6天
002312,川发龙蟒,0,2026-02-24,MA60,11.5607,12.76,13.68,2.012,3,1.1781,2026-02-27,13.68,13.44,0.44,10.0,0,0,1,1,7.21,16.03,18.44,11.3295,18.33,0,0.545,1.444,11.14,等待回踩,不追高，等待回到关键位附近再评估,距MA60+18.3% | 连涨1天 | 连阳1天
688033,天宜新材,1,2026-02-24,High60,10.15,10.68,12.1,1.565,3,1.0335,2026-02-27,12.1,11.0,7.46,20.0,0,0,2,2,13.3,23.72,51.06,9.947,19.21,0,1.365,1.771,33.74,等待回踩,不追高，等待回到关键位附近再评估,距High60+19.2% | 高位放量 | 连涨2天 | 连阳2天
002283,天润工业,0,2026-02-24,High60,9.26,10.07,11.14,1.82,3,1.0853,2026-02-27,11.14,10.88,0.72,10.0,0,0,2,2,10.63,25.88,36.02,9.0748,20.3,0,1.133,1.101,33.23,等待回踩,不追高，等待回到关键位附近再评估,距High60+20.3% | 超涨 | 连涨2天 | 连阳2天
300505,川金诺,0,2026-02-24,High60,30.35,31.08,36.77,2.144,3,1.2049,2026-02-27,36.77,36.01,0.55,20.0,0,0,1,1,18.31,31.27,34.59,29.743,21.15,0,0.588,1.862,24.07,等待回踩,不追高，等待回到关键位附近再评估,距High60+21.2% | 高位放量 | 连涨1天 | 连阳1天
300303,聚飞光电,0,2026-02-24,High60,7.57,7.82,9.22,1.967,3,1.0238,2026-02-27,9.22,9.19,-0.86,20.0,0,0,0,2,17.9,23.59,30.59,7.4186,21.8,0,0.997,3.601,23.11,等待回踩,不追高，等待回到关键位附近再评估,距High60+21.8% | 高位放量 | 连阳2天
688800,瑞可达,1,2026-02-24,MA60,81.199,94.0,105.35,2.871,3,1.2003,2026-02-27,105.35,102.0,-0.06,20.0,0,0,0,2,12.07,28.01,32.18,79.575,29.74,0,0.633,1.797,19.78,等待回踩,不追高，等待回到关键位附近再评估,距MA60+29.7% | 高位放量 | 连阳2天
