symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000333,美的集团,0,2023-02-24,2023-02-27,2023-02-28,2,52.6,53.0208,0.638768,止盈
000070,特发信息,0,2023-02-28,2023-03-01,2023-03-01,1,8.23,8.29584,0.638768,止盈
000017,深中华A,0,2023-03-01,2023-03-02,2023-03-07,4,4.86,4.6656,-4.153554,止损
000045,深纺织Ａ,0,2023-03-01,2023-03-02,2023-03-02,1,11.3,11.3904,0.638768,止盈
000409,云鼎科技,0,2023-03-02,2023-03-03,2023-03-03,1,7.73,7.79184,0.638768,止盈
000417,合百集团,0,2023-03-02,2023-03-03,2023-03-06,2,5.24,5.28192,0.638768,止盈
000400,许继电气,0,2023-03-03,2023-03-06,2023-03-07,2,24.0,24.192,0.638768,止盈
000045,深纺织Ａ,0,2023-03-06,2023-03-07,2023-03-07,1,11.25,11.34,0.638768,止盈
000100,TCL科技,0,2023-03-06,2023-03-07,2023-03-07,1,4.49,4.52592,0.638768,止盈
000409,云鼎科技,0,2023-03-06,2023-03-07,2023-03-13,5,7.7,7.392,-4.153554,止损
000070,特发信息,0,2023-03-08,2023-03-09,2023-03-09,1,8.33,8.39664,0.638768,止盈
000157,中联重科,0,2023-03-08,2023-03-09,2023-03-14,4,6.67,6.4032,-4.153554,止损
000048,京基智农,0,2023-03-09,2023-03-10,2023-03-10,1,20.96,21.12768,0.638768,止盈
000050,深天马Ａ,0,2023-03-09,2023-03-10,2023-03-10,1,9.78,9.85824,0.638768,止盈
000088,盐 田 港,0,2023-03-09,2023-03-10,2023-03-15,4,5.25,5.292,0.638768,止盈
000060,中金岭南,0,2023-03-10,2023-03-13,2023-03-13,1,4.63,4.66704,0.638768,止盈
000151,中成股份,0,2023-03-22,2023-03-23,2023-03-23,1,14.88,14.99904,0.638768,止盈
000060,中金岭南,0,2023-03-27,2023-03-28,2023-03-28,1,4.79,4.82832,0.638768,止盈
000166,申万宏源,0,2023-03-28,2023-03-29,2023-04-03,4,4.21,4.24368,0.638768,止盈
000028,国药一致,0,2023-03-31,2023-04-03,2023-04-03,1,44.17,44.52336,0.638768,止盈
000039,中集集团,0,2023-04-07,2023-04-10,2023-04-14,5,7.5,7.56,0.638768,止盈
000157,中联重科,0,2023-04-07,2023-04-10,2023-04-17,6,6.4,6.41,-0.003952,时间止盈
000070,特发信息,0,2023-04-12,2023-04-13,2023-04-14,2,9.8,9.408,-4.153554,止损
000099,中信海直,0,2023-04-13,2023-04-14,2023-04-17,2,7.99,8.05392,0.638768,止盈
000401,金隅冀东,0,2023-04-14,2023-04-17,2023-04-24,6,9.06,8.6976,-4.153554,止损
000063,中兴通讯,0,2023-04-18,2023-04-19,2023-04-19,1,34.5,34.776,0.638768,止盈
000031,大悦城,0,2023-04-19,2023-04-20,2023-04-21,2,3.86,3.89088,0.638768,止盈
000410,沈阳机床,0,2023-04-19,2023-04-20,2023-04-20,1,6.0,6.048,0.638768,止盈
000048,京基智农,0,2023-04-20,2023-04-21,2023-04-21,1,23.17,23.35536,0.638768,止盈
000065,北方国际,0,2023-04-24,2023-04-25,2023-04-25,1,16.0,16.128,0.638768,止盈
000021,深科技,0,2023-04-25,2023-04-26,2023-04-26,1,18.2,17.472,-4.153554,止损
000060,中金岭南,0,2023-05-11,2023-05-12,2023-05-15,2,5.01,4.8096,-4.153554,止损
000065,北方国际,0,2023-05-15,2023-05-16,2023-05-16,1,17.28,17.41824,0.638768,止盈
000333,美的集团,0,2023-05-15,2023-05-16,2023-05-16,1,56.59,57.04272,0.638768,止盈
000404,长虹华意,0,2023-05-17,2023-05-18,2023-05-18,1,6.57,6.62256,0.638768,止盈
000409,云鼎科技,0,2023-05-18,2023-05-19,2023-05-19,1,8.54,8.60832,0.638768,止盈
000404,长虹华意,0,2023-05-19,2023-05-22,2023-05-25,4,6.71,6.4416,-4.153554,止损
000027,深圳能源,0,2023-05-25,2023-05-26,2023-05-26,1,6.69,6.74352,0.638768,止盈
000166,申万宏源,0,2023-05-26,2023-05-29,2023-06-01,4,4.74,4.77792,0.638768,止盈
000028,国药一致,0,2023-05-29,2023-05-30,2023-05-30,1,59.01,59.48208,0.638768,止盈
000027,深圳能源,0,2023-06-01,2023-06-02,2023-06-06,3,6.86,6.5856,-4.153554,止损
000099,中信海直,0,2023-06-06,2023-06-07,2023-06-07,1,8.35,8.4168,0.638768,止盈
000026,飞亚达,0,2023-06-12,2023-06-13,2023-06-13,1,12.14,12.23712,0.638768,止盈
000404,长虹华意,0,2023-06-15,2023-06-16,2023-06-16,1,6.51,6.56208,0.638768,止盈
000156,华数传媒,0,2023-06-20,2023-06-21,2023-06-21,1,9.37,8.9952,-4.153554,止损
000014,沙河股份,0,2023-06-21,2023-06-26,2023-06-26,1,11.2,10.752,-4.153554,止损
000410,沈阳机床,0,2023-06-21,2023-06-26,2023-06-26,1,8.16,8.22528,0.638768,止盈
000032,深桑达Ａ,0,2023-06-27,2023-06-28,2023-06-28,1,34.9,33.504,-4.153554,止损
000099,中信海直,0,2023-06-30,2023-07-03,2023-07-03,1,9.37,9.44496,0.638768,止盈
000026,飞亚达,0,2023-07-03,2023-07-04,2023-07-11,6,12.14,12.19,0.251251,时间止盈
000404,长虹华意,0,2023-07-04,2023-07-05,2023-07-05,1,6.77,6.82416,0.638768,止盈
000410,沈阳机床,0,2023-07-04,2023-07-05,2023-07-05,1,8.11,7.7856,-4.153554,止损
000409,云鼎科技,0,2023-07-05,2023-07-06,2023-07-06,1,9.52,9.59616,0.638768,止盈
000157,中联重科,0,2023-07-06,2023-07-07,2023-07-07,1,6.67,6.72336,0.638768,止盈
000333,美的集团,0,2023-07-06,2023-07-07,2023-07-07,1,58.04,58.50432,0.638768,止盈
000157,中联重科,0,2023-07-10,2023-07-11,2023-07-11,1,6.65,6.7032,0.638768,止盈
000036,华联控股,0,2023-07-12,2023-07-13,2023-07-20,6,4.07,4.10256,0.638768,止盈
000063,中兴通讯,0,2023-07-13,2023-07-14,2023-07-14,1,43.58,43.92864,0.638768,止盈
000157,中联重科,0,2023-07-13,2023-07-14,2023-07-14,1,6.69,6.74352,0.638768,止盈
000404,长虹华意,0,2023-07-14,2023-07-17,2023-07-17,1,6.86,6.91488,0.638768,止盈
000409,云鼎科技,0,2023-07-17,2023-07-18,2023-07-18,1,9.75,9.828,0.638768,止盈
000026,飞亚达,0,2023-07-18,2023-07-19,2023-07-19,1,12.07,12.16656,0.638768,止盈
000020,深华发Ａ,0,2023-07-20,2023-07-21,2023-07-21,1,12.7,12.192,-4.153554,止损
000027,深圳能源,0,2023-07-20,2023-07-21,2023-07-21,1,6.7,6.7536,0.638768,止盈
000338,潍柴动力,0,2023-07-20,2023-07-21,2023-07-25,3,12.58,12.68064,0.638768,止盈
000027,深圳能源,0,2023-07-24,2023-07-25,2023-07-31,5,6.77,6.82416,0.638768,止盈
000410,沈阳机床,0,2023-07-24,2023-07-25,2023-07-27,3,8.08,8.14464,0.638768,止盈
000030,富奥股份,0,2023-07-26,2023-07-27,2023-07-27,1,5.34,5.38272,0.638768,止盈
000421,南京公用,0,2023-07-27,2023-07-28,2023-07-28,1,5.48,5.52384,0.638768,止盈
000410,沈阳机床,0,2023-07-28,2023-07-31,2023-07-31,1,7.96,8.02368,0.638768,止盈
000421,南京公用,0,2023-07-31,2023-08-01,2023-08-01,1,5.47,5.51376,0.638768,止盈
000421,南京公用,0,2023-08-02,2023-08-03,2023-08-07,3,5.54,5.3184,-4.153554,止损
000030,富奥股份,0,2023-08-04,2023-08-07,2023-08-07,1,5.46,5.50368,0.638768,止盈
000410,沈阳机床,0,2023-08-04,2023-08-07,2023-08-09,3,8.01,7.6896,-4.153554,止损
000030,富奥股份,0,2023-08-08,2023-08-09,2023-08-10,2,5.47,5.2512,-4.153554,止损
000338,潍柴动力,0,2023-08-08,2023-08-09,2023-08-11,3,12.83,12.3168,-4.153554,止损
000036,华联控股,0,2023-08-09,2023-08-10,2023-08-10,1,4.25,4.284,0.638768,止盈
000060,中金岭南,0,2023-08-09,2023-08-10,2023-08-14,3,5.64,5.4144,-4.153554,止损
000061,农 产 品,0,2023-08-10,2023-08-11,2023-08-15,3,6.93,6.98544,0.638768,止盈
000417,合百集团,0,2023-08-10,2023-08-11,2023-08-14,2,5.68,5.72544,0.638768,止盈
000031,大悦城,0,2023-08-15,2023-08-16,2023-08-16,1,4.26,4.29408,0.638768,止盈
000014,沙河股份,0,2023-08-16,2023-08-17,2023-08-17,1,13.8,13.9104,0.638768,止盈
000030,富奥股份,0,2023-09-07,2023-09-08,2023-09-08,1,5.3,5.3424,0.638768,止盈
000060,中金岭南,0,2023-09-07,2023-09-08,2023-09-08,1,5.32,5.36256,0.638768,止盈
000415,渤海租赁,0,2023-09-11,2023-09-12,2023-09-12,1,2.67,2.69136,0.638768,止盈
000419,通程控股,0,2023-09-12,2023-09-13,2023-09-13,1,5.79,5.83632,0.638768,止盈
000061,农 产 品,0,2023-09-14,2023-09-15,2023-09-15,1,6.84,6.89472,0.638768,止盈
000415,渤海租赁,0,2023-09-14,2023-09-15,2023-09-15,1,2.66,2.68128,0.638768,止盈
000035,中国天楹,0,2023-09-15,2023-09-18,2023-09-25,6,5.34,5.33,-0.346918,时间止盈
000415,渤海租赁,0,2023-09-19,2023-09-20,2023-09-27,6,2.67,2.64,-1.28175,时间止盈
000417,合百集团,0,2023-09-19,2023-09-20,2023-09-27,6,5.53,5.39,-2.687548,时间止盈
000008,神州高铁,0,2023-09-20,2023-09-21,2023-09-21,1,2.42,2.43936,0.638768,止盈
000068,华控赛格,0,2023-09-25,2023-09-26,2023-09-28,3,3.63,3.65904,0.638768,止盈
000157,中联重科,0,2023-09-25,2023-09-26,2023-09-26,1,6.9,6.9552,0.638768,止盈
000061,农 产 品,0,2023-09-26,2023-09-27,2023-10-10,4,6.91,6.96528,0.638768,止盈
000157,中联重科,0,2023-09-27,2023-09-28,2023-10-09,2,6.88,6.93504,0.638768,止盈
000068,华控赛格,0,2023-10-17,2023-10-18,2023-10-23,4,3.65,3.504,-4.153554,止损
000058,深 赛 格,0,2023-10-25,2023-10-26,2023-11-02,6,7.12,7.17696,0.638768,止盈
