symbol,name,industry,sum_pct,last_pct_chg,avg_amount_yi,days,trade_date,reason,ts_code
600315,上海家化,日用化工,3.83,0.99,1.3,3,20260312,20260310-20260312 连续3日小阳线 累计3.83%,600315.SH
000987,越秀资本,多元金融,3.82,1.84,4.2,3,20260312,20260310-20260312 连续3日小阳线 累计3.82%,000987.SZ
600876,凯盛新能,玻璃,3.8,2.36,0.71,3,20260312,20260310-20260312 连续3日小阳线 累计3.8%,600876.SH
920089,禾昌聚合,塑料,3.8,1.3,0.48,3,20260312,20260310-20260312 连续3日小阳线 累计3.8%,920089.BJ
601006,大秦铁路,铁路,3.8,0.93,12.44,3,20260312,20260310-20260312 连续3日小阳线 累计3.8%,601006.SH
603739,蔚蓝生物,农业综合,3.8,0.44,0.88,3,20260312,20260310-20260312 连续3日小阳线 累计3.8%,603739.SH
300232,洲明科技,元器件,3.78,2.0,5.04,3,20260312,20260310-20260312 连续3日小阳线 累计3.78%,300232.SZ
000885,城发环境,环境保护,3.75,1.05,1.3,3,20260312,20260310-20260312 连续3日小阳线 累计3.75%,000885.SZ
000507,珠海港,新型电力,3.74,2.12,1.7,3,20260312,20260310-20260312 连续3日小阳线 累计3.74%,000507.SZ
688612,威迈斯,汽车配件,3.71,0.31,0.89,3,20260312,20260310-20260312 连续3日小阳线 累计3.71%,688612.SH
600155,华创云信,证券,3.6,2.7,1.97,3,20260312,20260310-20260312 连续3日小阳线 累计3.6%,600155.SH
000525,红太阳,农药化肥,3.57,1.13,4.82,3,20260312,20260310-20260312 连续3日小阳线 累计3.57%,000525.SZ
603139,康惠股份,中成药,3.57,0.83,1.0,3,20260312,20260310-20260312 连续3日小阳线 累计3.57%,603139.SH
600660,福耀玻璃,汽车配件,3.51,0.28,6.89,3,20260312,20260310-20260312 连续3日小阳线 累计3.51%,600660.SH
601949,中国出版,出版业,3.49,0.9,0.91,3,20260312,20260310-20260312 连续3日小阳线 累计3.49%,601949.SH
000050,深天马Ａ,元器件,3.43,1.06,2.5,3,20260312,20260310-20260312 连续3日小阳线 累计3.43%,000050.SZ
