symbol,name,industry,score,pct_chg,turnover_rate,volume_ratio,amount_yi,trade_date,reason,ts_code
601038,一拖股份,农用机械,34.83932553975672,10.0139,3.8237,3.22,4.27316834,20260312,涨幅10.0% 成交额4.3亿 换手3.8% 量比3.22,601038.SH
002645,华宏科技,专用机械,34.80084649233084,6.4454,11.4089,3.29,10.668660090000001,20260312,涨幅6.4% 成交额10.7亿 换手11.4% 量比3.29,002645.SZ
600157,永泰能源,火力发电,34.75812176476629,3.5714,13.7531,1.79,60.88609025,20260312,涨幅3.6% 成交额60.9亿 换手13.8% 量比1.79,600157.SH
603626,科森科技,元器件,34.602350390726016,10.0226,5.279,0.87,7.0470663600000005,20260312,涨幅10.0% 成交额7.0亿 换手5.3% 量比0.87,603626.SH
600989,宝丰能源,化工原料,34.070688792889975,5.9027,3.4359,1.03,84.35356335000002,20260312,涨幅5.9% 成交额84.4亿 换手3.4% 量比1.03,600989.SH
300932,三友联众,电气设备,34.06806532773889,3.8484,23.778,1.67,9.30569167,20260312,涨幅3.8% 成交额9.3亿 换手23.8% 量比1.67,300932.SZ
300827,上能电气,电气设备,33.9709750995962,4.3983,15.7172,1.52,25.05211031,20260312,涨幅4.4% 成交额25.1亿 换手15.7% 量比1.52,300827.SZ
601600,中国铝业,铝,33.92004371099368,5.7307,3.8822,1.4,74.62568149,20260312,涨幅5.7% 成交额74.6亿 换手3.9% 量比1.40,601600.SH
002254,泰和新材,化纤,33.8700726590695,10.0398,4.2824,1.69,5.02711325,20260312,涨幅10.0% 成交额5.0亿 换手4.3% 量比1.69,002254.SZ
601118,海南橡胶,橡胶,33.35508129807802,7.6129,4.5611,2.06,16.27931851,20260312,涨幅7.6% 成交额16.3亿 换手4.6% 量比2.06,601118.SH
603158,腾龙股份,汽车配件,33.305426859847586,3.7551,19.4925,2.59,11.938103470000001,20260312,涨幅3.8% 成交额11.9亿 换手19.5% 量比2.59,603158.SH
002688,金河生物,农业综合,33.271457262119654,5.5195,9.5771,7.04,4.66085146,20260312,涨幅5.5% 成交额4.7亿 换手9.6% 量比7.04,002688.SZ
000420,吉林化纤,化纤,33.25276202149995,10.0877,4.0167,1.26,4.95630609,20260312,涨幅10.1% 成交额5.0亿 换手4.0% 量比1.26,000420.SZ
300438,鹏辉能源,电气设备,33.07691878895586,3.2562,15.9153,1.51,37.01666808,20260312,涨幅3.3% 成交额37.0亿 换手15.9% 量比1.51,300438.SZ
603393,新天然气,供气供热,33.03884624844244,6.8914,8.7536,1.14,15.68318894,20260312,涨幅6.9% 成交额15.7亿 换手8.8% 量比1.14,603393.SH
001896,豫能控股,火力发电,32.979054923412086,3.4358,15.4367,1.07,40.2053759,20260312,涨幅3.4% 成交额40.2亿 换手15.4% 量比1.07,001896.SZ
601991,大唐发电,火力发电,32.96361806428373,10.0962,1.3774,1.08,7.64848807,20260312,涨幅10.1% 成交额7.6亿 换手1.4% 量比1.08,601991.SH
600307,酒钢宏兴,普钢,32.95902974100976,6.8783,6.5923,4.12,8.31706286,20260312,涨幅6.9% 成交额8.3亿 换手6.6% 量比4.12,600307.SH
600935,华塑股份,化工原料,32.88503435743766,9.9668,3.6079,1.9,4.0953766499999995,20260312,涨幅10.0% 成交额4.1亿 换手3.6% 量比1.90,600935.SH
601898,中煤能源,煤炭开采,32.85820533114254,8.096,1.2771,1.4,22.34041326,20260312,涨幅8.1% 成交额22.3亿 换手1.3% 量比1.40,601898.SH
600726,华电能源,火力发电,32.79022944475205,9.915,2.433,1.04,6.90390832,20260312,涨幅9.9% 成交额6.9亿 换手2.4% 量比1.04,600726.SH
600328,中盐化工,化工原料,32.74245251428969,4.7284,11.4793,3.2,17.23053852,20260312,涨幅4.7% 成交额17.2亿 换手11.5% 量比3.20,600328.SH
300943,春晖智控,机械基件,32.593622147767434,4.5392,18.9931,1.49,9.54741216,20260312,涨幅4.5% 成交额9.5亿 换手19.0% 量比1.49,300943.SZ
002449,国星光电,半导体,32.53192011646444,5.8219,14.261,1.95,8.08645669,20260312,涨幅5.8% 成交额8.1亿 换手14.3% 量比1.95,002449.SZ
600396,华电辽能,火力发电,32.529103367648496,6.701,12.5782,1.39,7.52493878,20260312,涨幅6.7% 成交额7.5亿 换手12.6% 量比1.39,600396.SH
