symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
002160,常铝股份,铝,20260413,-16.37,30日跌-16.4%,9.17,,5.11,0.2,2.47,52.67,1.3,,0,30日跌-16.4% 连续2日地量(<15.0%分位) 放量 阳线确认,002160.SZ
600792,云煤能源,焦炭加工,20260413,-16.19,30日跌-16.2%,10.83,,4.14,2.22,2.29,45.95,1.04,,0,30日跌-16.2% 连续2日地量(<15.0%分位) 放量 阳线确认,600792.SH
920694,中裕科技,塑料,20260413,-16.12,30日跌-16.1%,4.17,,17.48,0.23,0.69,10.92,0.08,,0,30日跌-16.1% 连续2日地量(<15.0%分位) 放量 阳线确认,920694.BJ
002185,华天科技,半导体,20260413,-15.98,30日跌-16.0%,14.17,,12.36,0.98,2.66,403.62,10.71,,0,30日跌-16.0% 连续2日地量(<15.0%分位) 放量 阳线确认,002185.SZ
002320,海峡股份,水运,20260413,-15.8,30日跌-15.8%,10.83,,8.58,0.82,0.66,191.79,1.26,,0,30日跌-15.8% 连续2日地量(<15.0%分位) 放量 阳线确认,002320.SZ
300536,农尚环境,建筑工程,20260413,-15.7,60日跌-15.7%,3.33,,8.0,1.14,1.48,23.46,0.34,,0,60日跌-15.7% 连续2日地量(<15.0%分位) 放量 阳线确认,300536.SZ
600409,三友化工,化纤,20260413,-15.69,30日跌-15.7%,9.17,,7.36,1.66,1.64,151.94,2.46,,0,30日跌-15.7% 连续2日地量(<15.0%分位) 放量 阳线确认,600409.SH
000785,居然智家,百货,20260413,-15.57,30日跌-15.6%,5.83,,2.44,0.41,0.58,143.9,0.83,,0,30日跌-15.6% 连续2日地量(<15.0%分位) 放量 阳线确认,000785.SZ
000875,电投绿能,火力发电,20260413,-15.56,30日跌-15.6%,9.17,,6.62,2.79,1.58,221.27,3.45,,0,30日跌-15.6% 连续2日地量(<15.0%分位) 放量 阳线确认,000875.SZ
688598,金博股份,矿物制品,20260413,-15.56,30日跌-15.6%,10.0,,23.11,1.49,1.55,47.05,0.73,,0,30日跌-15.6% 连续2日地量(<15.0%分位) 放量 阳线确认,688598.SH
600843,上工申贝,纺织机械,20260413,-15.46,30日跌-15.5%,5.0,,9.46,0.32,1.02,44.39,0.45,,0,30日跌-15.5% 连续2日地量(<15.0%分位) 放量 阳线确认,600843.SH
300777,中简科技,化纤,20260413,-15.45,30日跌-15.4%,14.17,,37.49,1.02,2.03,158.81,3.21,,0,30日跌-15.4% 连续2日地量(<15.0%分位) 放量 阳线确认,300777.SZ
300430,诚益通,电器仪表,20260413,-15.38,30日跌-15.4%,5.83,,18.04,0.5,1.65,46.88,0.77,,0,30日跌-15.4% 连续2日地量(<15.0%分位) 放量 阳线确认,300430.SZ
601609,金田股份,铜,20260413,-15.35,30日跌-15.3%,12.5,,10.26,0.98,1.02,177.36,1.81,,0,30日跌-15.3% 连续2日地量(<15.0%分位) 放量 阳线确认,601609.SH
002564,天沃科技,化工机械,20260413,-15.31,30日跌-15.3%,14.17,,6.14,1.15,1.08,52.74,0.56,,0,30日跌-15.3% 连续2日地量(<15.0%分位) 放量 阳线确认,002564.SZ
300449,汉邦高科,IT设备,20260413,-15.3,30日跌-15.3%,5.83,,7.14,0.14,1.34,27.56,0.37,,0,30日跌-15.3% 连续2日地量(<15.0%分位) 放量 阳线确认,300449.SZ
688507,索辰科技,软件服务,20260413,-15.29,30日跌-15.3%,3.33,,85.65,0.34,1.66,42.17,0.7,,0,30日跌-15.3% 连续2日地量(<15.0%分位) 放量 阳线确认,688507.SH
001386,马可波罗,家居用品,20260413,-15.26,30日跌-15.3%,4.17,,19.66,0.56,2.21,19.24,0.42,,0,30日跌-15.3% 连续2日地量(<15.0%分位) 放量 阳线确认,001386.SZ
920792,东和新材,其他建材,20260413,-15.1,30日跌-15.1%,7.5,,11.19,0.63,0.52,11.23,0.06,,0,30日跌-15.1% 连续2日地量(<15.0%分位) 放量 阳线确认,920792.BJ
600477,杭萧钢构,钢加工,20260413,-15.09,30日跌-15.1%,6.67,,3.15,0.32,1.32,74.31,0.98,,0,30日跌-15.1% 连续2日地量(<15.0%分位) 放量 阳线确认,600477.SH
301091,深城交,建筑工程,20260413,-15.03,30日跌-15.0%,6.67,,21.37,0.09,0.49,112.68,0.55,,0,30日跌-15.0% 连续2日地量(<15.0%分位) 放量 阳线确认,301091.SZ
603181,皇马科技,化工原料,20260413,-15.03,30日跌-15.0%,3.33,,14.92,0.27,0.55,87.83,0.48,,0,30日跌-15.0% 连续2日地量(<15.0%分位) 放量 阳线确认,603181.SH
002314,南山控股,区域地产,20260413,-15.02,60日跌-15.0%,6.67,,2.49,2.05,1.61,33.32,0.53,,0,60日跌-15.0% 连续2日地量(<15.0%分位) 放量 阳线确认,002314.SZ
300540,蜀道装备,专用机械,20260413,-14.89,30日跌-14.9%,7.5,,20.24,0.7,1.95,41.84,0.82,,0,30日跌-14.9% 连续2日地量(<15.0%分位) 放量 阳线确认,300540.SZ
688562,航天软件,软件服务,20260413,-14.89,30日跌-14.9%,7.5,,19.15,1.7,1.89,33.13,0.62,,0,30日跌-14.9% 连续2日地量(<15.0%分位) 放量 阳线确认,688562.SH
300041,回天新材,化工原料,20260413,-14.76,30日跌-14.8%,10.0,,10.86,0.09,1.98,59.09,1.17,,0,30日跌-14.8% 连续2日地量(<15.0%分位) 放量 阳线确认,300041.SZ
002651,利君股份,航空,20260413,-14.68,30日跌-14.7%,4.17,,9.53,0.95,0.96,53.89,0.51,,0,30日跌-14.7% 连续2日地量(<15.0%分位) 放量 阳线确认,002651.SZ
002085,万丰奥威,汽车配件,20260413,-14.65,30日跌-14.7%,8.33,,14.04,0.14,0.94,298.11,2.79,,0,30日跌-14.7% 连续2日地量(<15.0%分位) 放量 阳线确认,002085.SZ
