market,code,name,signal_mode,rim_left_date,rim_left_price,rim_right_date,rim_right_price,bottom_date,bottom_low,cup_days,cup_depth,rim_diff,handle_days,handle_pullback,handle_high,breakout_date,breakout_close,dist_to_breakout,breakout_vol_ratio,bottom_vol_ratio,left_neg_ratio,right_pos_ratio,score,reason
1,605268,王力安防,setup,20250730,11.75,20260224,11.48,20251013,9.65,135,0.17273896270895833,0.02297872340425528,10,0.114853195164076,16.86,20260310,16.86,0.0,0.9042457816640578,0.20812729844226918,0.5531914893617021,0.5113636363636364,61.41586213009004,杯底+杯柄临近突破
0,002531,天顺风能,setup,20241203,9.52,20260213,9.46,20250409,6.1,293,0.3733949666153056,0.006302521008403227,11,0.03826266804550147,11.14,20260310,10.99,0.01364877161055511,0.5108431636679803,0.8234506167796334,0.5903614457831325,0.49523809523809526,61.390456568794754,杯底+杯柄临近突破
0,301372,科净源,setup,20251107,30.42,20260227,29.36,20251217,24.24,72,0.19334442595673884,0.034845496383957994,7,0.11390683441006465,29.26,20260310,28.95,0.010708117443868792,0.6086410674892838,0.3753245931318587,0.5714285714285714,0.5909090909090909,61.23142764165316,杯底+杯柄临近突破
1,688056,莱伯泰科,setup,20250822,41.51,20260227,39.68,20251217,31.81,121,0.2225345227911524,0.044085762466875414,7,0.0785445420326224,40.27,20260310,40.23,0.000994282873477692,0.7976771326930919,0.3671159209910346,0.5324675324675324,0.6136363636363636,61.17584698486783,杯底+杯柄临近突破
0,002485,ST雪发,setup,20251107,5.19,20260305,5.05,20251217,3.67,76,0.3068932955618508,0.026974951830443267,3,0.09444444444444457,5.46,20260310,5.46,0.0,0.44497646401957164,0.2886834133488859,0.6785714285714286,0.4791666666666667,60.8635259464716,杯底+杯柄临近突破
1,688669,聚石化学,setup,20250815,27.68,20260304,28.01,20251124,17.82,129,0.37451737451737455,0.01178150660478407,4,0.03793103448275867,29.6,20260310,29.37,0.00783112019067067,0.40689982528252727,0.7871367844457441,0.5230769230769231,0.59375,60.53806385335499,杯底+杯柄临近突破
0,002367,康力电梯,setup,20241211,7.87,20260212,8.12,20250409,5.95,286,0.26814268142681413,0.03078817733990137,12,0.06400966183574872,8.39,20260310,8.34,0.00599520383693064,0.558620415746805,0.6706165114073263,0.4805194805194805,0.5311004784688995,60.3124798825153,杯底+杯柄临近突破
0,301559,中集环科,setup,20250827,19.0,20260303,18.26,20251217,15.41,120,0.20238095238095238,0.03894736842105255,5,0.0791139240506329,18.79,20260310,18.54,0.013484358144552289,1.7186427403192739,0.17906086308558192,0.5675675675675675,0.5652173913043478,60.30719196203291,杯底+杯柄临近突破
1,600202,哈空调,setup,20251117,6.61,20260210,6.43,20251217,5.54,59,0.15355233002291824,0.02723146747352505,14,0.07109737248840803,6.63,20260310,6.62,0.0015105740181269312,0.9189574165660069,0.6956843070060736,0.6363636363636364,0.5675675675675675,60.28825534547474,杯底+杯柄临近突破
1,603282,亚光股份,setup,20251118,21.16,20260305,22.18,20251217,18.23,69,0.18525139664804469,0.04598737601442739,3,0.06436285097192218,22.5,20260310,22.24,0.011690647482014427,0.4816503097492435,0.43043337145027166,0.6190476190476191,0.5625,60.20251669023093,杯底+杯柄临近突破
