ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
002181.SZ,粤传媒,0.1795,11.54,10.1,12.1,11.14,79.76,-0.5503,0.0007,-0.1367,20260327,4,主升锁仓,4,主升锁仓,1,1.0359,0.33,1.0,,0.0
002091.SZ,江苏国泰,0.1207,9.35,8.6,9.7,9.11,79.77,-0.825,0.0,-0.314,20260327,4,主升锁仓,4,主升锁仓,1,1.0263,0.33,1.0,,0.0
605011.SH,杭州热电,0.1276,21.7,19.7,22.4,21.16,79.9,-0.9278,0.0,-0.0791,20260327,4,主升锁仓,4,主升锁仓,1,1.0255,0.33,1.0,,0.0
301093.SZ,华兰股份,0.1875,88.33,74.8,90.4,83.22,79.93,-0.4526,0.0047,-0.2561,20260327,4,主升锁仓,4,主升锁仓,1,1.0614,0.33,1.0,,0.0
600792.SH,云煤能源,0.1411,5.15,4.6,5.3,4.96,79.94,-0.7873,0.0,-0.2677,20260327,4,主升锁仓,4,主升锁仓,1,1.0383,0.33,1.0,,0.0
002655.SZ,共达电声,0.0811,17.66,16.5,17.9,17.26,80.1,-1.0,0.0,-0.6953,20260327,4,主升锁仓,4,主升锁仓,1,1.0232,0.33,1.0,,0.0
600285.SH,羚锐制药,0.1011,22.28,20.8,23.0,21.76,80.13,-0.6275,0.0001,-0.0842,20260327,4,主升锁仓,4,主升锁仓,1,1.0239,0.33,1.0,,0.0
601107.SH,四川成渝,0.2329,6.34,5.1,6.5,6.01,80.17,-0.9597,0.0,-0.0791,20260327,4,主升锁仓,4,主升锁仓,1,1.0549,0.33,1.0,,0.0
300207.SZ,欣旺达,0.1301,27.68,24.5,28.0,26.91,81.0,-0.5079,0.0018,-0.4008,20260327,4,主升锁仓,4,主升锁仓,1,1.0286,0.33,1.0,,0.0
600969.SH,郴电国际,0.2109,10.73,9.6,11.8,10.43,82.07,-0.8374,0.0,-0.2113,20260327,4,主升锁仓,4,主升锁仓,1,1.0288,0.33,1.0,,0.0
600159.SH,大龙地产,0.1316,3.15,2.8,3.2,3.04,82.27,-0.7712,0.0,-0.2132,20260327,4,主升锁仓,4,主升锁仓,1,1.0362,0.33,1.0,,0.0
002663.SZ,普邦股份,0.1717,2.33,2.0,2.4,2.33,82.31,-0.6056,0.0003,-0.0601,20260327,4,主升锁仓,4,主升锁仓,1,1.0,0.33,1.0,,0.0
300730.SZ,科创信息,0.1047,13.77,12.6,14.0,13.37,83.13,-0.5745,0.0004,-0.251,20260327,4,主升锁仓,4,主升锁仓,1,1.0299,0.33,1.0,,0.0
002246.SZ,北化股份,0.1302,25.5,23.0,26.2,24.57,83.34,-0.6702,0.0,-0.2707,20260327,4,主升锁仓,4,主升锁仓,1,1.0379,0.33,1.0,,0.0
002634.SZ,棒杰股份,0.2635,7.39,5.8,7.6,6.83,83.46,-0.8267,0.0,-0.1746,20260327,4,主升锁仓,4,主升锁仓,1,1.082,0.33,1.0,,0.0
002923.SZ,润都股份,0.135,16.14,14.4,16.5,15.56,83.71,-0.7579,0.0,-0.3208,20260327,4,主升锁仓,4,主升锁仓,1,1.0373,0.33,1.0,,0.0
688607.SH,康众医疗,0.2492,57.42,49.6,63.2,54.57,83.83,-0.3263,0.0468,-0.0279,20260327,4,主升锁仓,4,主升锁仓,1,1.0522,0.33,1.0,,0.0
300568.SZ,星源材质,0.1089,15.19,13.8,15.4,14.69,84.16,-0.3263,0.0468,-0.2174,20260327,4,主升锁仓,4,主升锁仓,1,1.034,0.33,1.0,,0.0
002959.SZ,小熊电器,0.1849,46.23,42.0,50.4,45.42,84.19,-0.5541,0.0007,-0.2205,20260327,4,主升锁仓,4,主升锁仓,1,1.0178,0.33,1.0,,0.0
603683.SH,晶华新材,0.1487,27.98,24.2,28.2,26.9,84.2,-0.5263,0.0008,-0.0827,20260327,4,主升锁仓,4,主升锁仓,1,1.0401,0.33,1.0,,0.0
603291.SH,联合水务,0.1198,12.18,10.9,12.3,11.69,84.43,-0.4127,0.0113,-0.0488,20260327,4,主升锁仓,4,主升锁仓,1,1.0419,0.33,1.0,,0.0
002966.SZ,苏州银行,0.0733,8.34,7.9,8.5,8.19,84.53,-0.5429,0.0027,-0.1429,20260327,4,主升锁仓,4,主升锁仓,1,1.0183,0.33,1.0,,0.0
002875.SZ,安奈儿,0.1393,19.41,17.2,19.8,18.67,84.8,-0.6455,0.0001,-0.2154,20260327,4,主升锁仓,4,主升锁仓,1,1.0396,0.33,1.0,,0.0
