ts_code,name,trade_date,asof_time,strategy_type,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
301216.SZ,万凯新材,20260311,10:25,standard,24.83,24.09,-2.9802658074909325,24.68,-0.6041079339508603,10:07,37,24.9,0.28191703584373856,0.6,0.0,1.0,0.72,1.0019170358437386,"standard策略:前30分钟回撤-2.98%,随后站上开盘价并稳住"
688251.SH,井松智能,20260311,10:25,standard,33.35,32.91,-1.3193403298350967,33.01,-1.019490254872574,10:13,43,33.68,0.9895052473763066,0.0,0.0,0.0,0.0,0.9895052473763066,"standard策略:前30分钟回撤-1.32%,随后站上开盘价并稳住"
301031.SZ,中熔电气,20260311,10:25,standard,153.51,151.55,-1.2767897856817014,153.26,-0.16285584001042278,10:08,38,155.0,0.9706208064621257,0.0,0.0,0.0,0.0,0.9706208064621257,"standard策略:前30分钟回撤-1.28%,随后站上开盘价并稳住"
601019.SH,山东出版,20260311,10:25,standard,8.91,8.87,-0.44893378226712594,8.89,-0.224466891133553,10:11,41,8.98,0.7856341189674555,0.0,0.0,0.0,0.0,0.7856341189674555,"standard策略:前30分钟回撤-0.45%,随后站上开盘价并稳住"
300804.SZ,广康生化,20260311,10:25,standard,48.91,48.0,-1.8605602126354461,48.68,-0.4702514823144488,10:03,33,49.29,0.7769372316499745,0.0,0.0,0.0,0.0,0.7769372316499745,"standard策略:前30分钟回撤-1.86%,随后站上开盘价并稳住"
300804.SZ,广康生化,20260311,10:25,deep_v,48.91,48.0,-1.8605602126354461,48.68,-0.4702514823144488,10:03,33,49.29,0.7769372316499745,0.0,0.0,0.0,0.0,0.7769372316499745,"deep_v策略:前30分钟回撤-1.86%,随后站上开盘价并稳住"
600535.SH,天士力,20260311,10:25,standard,14.19,14.06,-0.916138125440444,14.15,-0.28188865398167123,10:13,43,14.3,0.775193798449621,0.0,0.0,0.0,0.0,0.775193798449621,"standard策略:前30分钟回撤-0.92%,随后站上开盘价并稳住"
603188.SH,亚邦股份,20260311,10:25,standard,5.53,5.49,-0.7233273056057872,5.52,-0.18083182640145887,10:02,32,5.57,0.7233273056057872,0.0,0.0,0.0,0.0,0.7233273056057872,"standard策略:前30分钟回撤-0.72%,随后站上开盘价并稳住"
002808.SZ,*ST恒久,20260311,10:25,standard,4.4,4.38,-0.454545454545465,4.38,-0.454545454545465,10:13,43,4.43,0.6818181818181672,0.0,0.0,0.0,0.0,0.6818181818181672,"standard策略:前30分钟回撤-0.45%,随后站上开盘价并稳住"
601985.SH,中国核电,20260311,10:25,standard,8.88,8.78,-1.126126126126142,8.87,-0.1126126126126302,10:00,30,8.94,0.6756756756756612,0.0,0.0,0.0,0.0,0.6756756756756612,"standard策略:前30分钟回撤-1.13%,随后站上开盘价并稳住"
300181.SZ,佐力药业,20260311,10:25,standard,16.48,16.4,-0.4854368932038947,16.42,-0.36407766990290485,10:14,44,16.59,0.6674757281553363,0.0,0.0,0.0,0.0,0.6674757281553363,"standard策略:前30分钟回撤-0.49%,随后站上开盘价并稳住"
002312.SZ,川发龙蟒,20260311,10:25,standard,12.75,12.66,-0.7058823529411754,12.69,-0.4705882352941215,10:04,34,12.83,0.6274509803921574,0.0,0.0,0.0,0.0,0.6274509803921574,"standard策略:前30分钟回撤-0.71%,随后站上开盘价并稳住"
300173.SZ,ST福能,20260311,10:25,standard,4.79,4.76,-0.6263048016701513,4.78,-0.2087682672233776,10:07,37,4.82,0.6263048016701513,0.0,0.0,0.0,0.0,0.6263048016701513,"standard策略:前30分钟回撤-0.63%,随后站上开盘价并稳住"
002569.SZ,*ST步森,20260311,10:25,standard,14.48,14.3,-1.2430939226519317,14.39,-0.6215469613259659,10:06,36,14.57,0.6215469613259659,0.0,0.0,0.0,0.0,0.6215469613259659,"standard策略:前30分钟回撤-1.24%,随后站上开盘价并稳住"
