market,code,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2
1,601992,8334158125.0,7,22,20251229,20110301,10677771250.0,12300000.0,-4365447500.0,770365520000.0,0.0,2338764843.75,-1299.9999523162842,2670671680000.0,1362391520000.0,439805200000.0,168150080000.0,112912.0,853276640000.0,180830120000.0,50330640000.0,718403600000.0,694893120000.0,626056720000.0,128399820000.0,-9822607500.0,2253134062.5,-39887122500.0,-25179817500.0,832560720000.0,-8359821875.0,-19499190000.0,-14250526250.0,204896580000.0,3.802000045776367,9.0
1,601995,2923542500.0,7,1,20251030,20201102,4827256875.0,19670000.0,28581635000.0,134492240000.0,0.0,1903714375.0,12400.000095367432,7649408640000.0,0.0,19256112500.0,18919926250.0,118897.0,0.0,23197097500.0,395101640000.0,1155007120000.0,207606040000.0,130778280000.0,0.0,76827760000.0,142140240000.0,627008000000.0,348432440000.0,0.0,77270420000.0,65654750000.0,65666930000.0,396833480000.0,20.2189998626709,9.0
1,601996,1120914531.25,10,4,20251025,20110929,1120914531.25,12200000.0,-248566796.875,15125315000.0,0.0,0.0,-500.0000074505806,35437325000.0,18533151250.0,13282201250.0,2358771093.75,26068.0,9399911250.0,42607998.046875,7017546250.0,25497565000.0,12613210000.0,12489747500.0,2276515000.0,-609218007.8125,34616000.9765625,2492709062.5,1294178046.875,5465092500.0,-597975976.5625,-594873007.8125,-593493984.375,5508776250.0,2.2750000953674316,9.0
1,601997,3656198125.0,29,1,20251128,20160816,3656198125.0,19660000.0,39701370000.0,109368280000.0,0.0,0.0,10700.000524520874,7465886720000.0,0.0,70134890000.0,3494940000.0,68067.0,0.0,22349130000.0,79952100000.0,681680640000.0,94353360000.0,52669500000.0,0.0,41683860000.0,21875380000.0,154807320000.0,118545260000.0,0.0,41714770000.0,39812320000.0,39149440000.0,376267360000.0,17.280000686645508,9.0
1,601998,40763000000.0,7,1,20260114,20070427,55645160000.0,19660000.0,518260000000.0,1622100000000.0,0.0,14882162500.0,8899.999856948853,98981283840000.0,0.0,702860000000.0,30280000000.0,125823.0,0.0,188770000000.0,955660000000.0,8233150720000.0,1565980000000.0,911790000000.0,0.0,654190000000.0,218270000000.0,2104369920000.0,-425749920000.0,0.0,654710000000.0,542670000000.0,533910000000.0,3832620160000.0,13.010000228881836,9.0
1,601999,550914687.5,5,18,20251030,20071221,550914687.5,27860000.0,437090703.125,17906023750.0,0.0,0.0,1400.0000059604645,42768480000.0,29433450000.0,5878507500.0,591097031.25,21029.0,15141147500.0,175804003.90625,5249151875.0,26493295000.0,16849300000.0,13272886250.0,8475406250.0,750783984.375,24558000.48828125,-1659156093.75,-1849873125.0,7211057500.0,751143984.375,745720000.0,768138984.375,13074367500.0,4.809000015258789,9.0
1,603000,1105691093.75,7,24,20251031,20120427,1105691093.75,18640000.0,561595703.125,11766435000.0,0.0,0.0,299.99999329447746,50832140000.0,33834097500.0,582087968.75,774860000.0,114197.0,10736877500.0,2392011875.0,8590325000.0,36722537500.0,11379192500.0,6694343125.0,4314378125.0,511855000.0,235518984.375,-88014003.90625,-605071015.625,2319626875.0,444852968.75,354611015.625,336421992.1875,13971740000.0,3.321000099182129,9.0
1,603001,400980000.0,28,41,20251030,20120426,400980000.0,12190000.0,-1359584062.5,18878068750.0,0.0,0.0,-5199.999809265137,31249247500.0,18433181250.0,3074322187.5,1511917031.25,11241.0,7033495000.0,14303000.48828125,18675922500.0,23782195000.0,14791712500.0,9558665625.0,7661720000.0,-2258660000.0,39757001.953125,1522707968.75,220033007.8125,4372103750.0,-2246678906.25,-2117781093.75,-2094085937.5,-1185745000.0,5.931000232696533,9.0
1,603002,1134078515.625,12,19,20251030,20120518,1134078515.625,12390000.0,367166406.25,16189542500.0,0.0,0.0,199.99999552965164,51887240000.0,30144777500.0,13292731250.0,1145017031.25,53599.0,14389376250.0,0.0,11939402500.0,34445172500.0,21439702500.0,20142860000.0,8203971250.0,314579003.90625,29185998.53515625,721168984.375,-5837542500.0,2690094062.5,299140996.09375,245155000.0,245155000.0,9599027500.0,3.0369999408721924,9.0
1,603004,58880000.0,28,19,20260202,20231227,235520000.0,12260000.0,1080324687.5,4851276562.5,0.0,0.0,5199.999809265137,22398122500.0,15167045000.0,4275485937.5,664412968.75,16588.0,1518965000.0,16172999.267578125,12194311250.0,20709575000.0,5401043125.0,3354512812.5,1232601953.125,1470076875.0,66280000.0,1710448125.0,-57996000.9765625,2429222031.25,1468523125.0,1240942031.25,1224953984.375,5482785000.0,8.793000221252441,9.0
1,603005,652171718.75,26,35,20251028,20140210,652171718.75,12390000.0,1844631093.75,8296930000.0,0.0,0.0,4199.9998688697815,52386455000.0,29052815000.0,13676847500.0,1083551953.125,147658.0,5666588125.0,332550000.0,16725662500.0,45347705000.0,10659582500.0,5569313125.0,1902630000.0,3062205937.5,49027998.046875,3097095000.0,-2002825937.5,1241608984.375,3060200000.0,2709840000.0,2737505937.5,18937731250.0,6.953000068664551,9.0
1,603006,254254296.875,16,7,20251028,20140630,254254296.875,12360000.0,474899609.375,5254571875.0,0.0,0.0,2300.0000417232513,20453987500.0,12270647500.0,5047615000.0,1255617968.75,16308.0,4449544062.5,2586220000.0,955600000.0,13039538750.0,5928060000.0,4617585000.0,2736410937.5,692715000.0,46307998.046875,1630252968.75,-79928002.9296875,3117450000.0,686860000.0,538451992.1875,584143007.8125,8147538125.0,5.127999782562256,9.0
