ts_code,name,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate,volume_ratio,total_mv,circ_mv,free_share,float_share,trade_date_mf,mf_net_amount,mf_net_amount_rate,mf_buy_elg_amount,mf_buy_elg_amount_rate,mf_buy_lg_amount,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
300331.SZ,苏大维格,20260302,20260227,2026-03-02 16:33:14,20260227,10.6979,2.01,1286107.3026,1041199.6994,19152.0166,21021.597,20260227,10852.39,9.98,7438.43,6.84,3413.97,3.14,20260302,59.44,39.62,15:29:30.282,49.54,49.53,0.020189783969307512,50.1,47.48,0.7862595419847324,0.0012,2.0185708518364978,2.3132207779993963,49.53,49.54,23612.71,10207.720000000001,477.0,206.0,210926.0,1032105088.0,48.932094099352376,1.2271011317069496,106173.0,104754.0,0.5033661094412258,moneyflow_dc,95.18,True,True,True,True,False,BUY
002895.SZ,川恒股份,20260302,20260227,2026-03-02 16:33:14,20260227,2.0523,0.75,2611751.4035,2564301.9133,31899.2083,59662.6783,20260227,4251.64,8.09,2348.18,4.47,1903.45,3.62,20260302,47.28,38.68,14:59:45.334,43.75,42.98,1.7915309446254146,44.0,42.08,0.8697916666666667,0.0025,2.285714285713831,1.9450867852420086,43.74,43.75,11237.699999999999,5777.48,257.0,132.0,184371.0,797445184.0,43.252202569818465,1.1378226975577945,88849.0,95523.0,0.481903336207972,moneyflow_dc,95.13,True,True,True,True,False,BUY
002837.SZ,英维克,20260302,20260227,2026-03-02 16:33:14,20260227,5.3595,0.73,10595631.157,9224615.4245,58047.8989,85019.497,20260227,-50212.6,-10.17,-29569.63,-5.99,-20642.98,-4.18,20260302,119.35,97.65,14:59:20.026,111.05,108.5,2.3502304147465414,112.72,105.03,0.7828348504551362,-0.0003,0.9004952724002806,4.611124955809654,111.05,111.06,119346.75,25882.350000000002,1075.0,233.0,508524.0,5612173824.0,110.36202468320079,0.6195185203054576,281914.0,226611.0,0.5543769812240917,moneyflow_dc,95.11,True,True,True,True,False,BUY
688305.SH,科德数控,20260302,20260227,2026-03-02 16:33:14,20260227,1.5007,0.97,828806.044,824485.1196,7336.2778,13221.3778,20260227,446.39,3.63,426.69,3.47,19.7,0.16,20260302,74.83,49.89,15:29:27.006,63.0,62.36,1.0262989095574095,63.89,60.02,0.7700258397932813,-0.0023,3.1746031746036705,3.5939121724824035,63.0,63.02,7929.5,2206.37,126.0,35.0,43198.0,268624064.0,62.18437520255567,1.294642535625919,21232.0,21966.0,0.49150423630723644,moneyflow_dc,95.1,True,True,True,True,False,BUY
301177.SZ,迪阿股份,20260302,20260227,2026-03-02 16:33:14,20260227,0.4257,0.82,1289284.3256,1288430.0358,4000.9325,40000.9325,20260227,-168.84,-3.09,-104.21,-1.91,-64.63,-1.18,20260302,38.65,25.77,15:29:39.720,33.81,32.21,4.967401428127915,34.66,31.67,0.7157190635451519,0.0018,2.95770482105827,8.905187816563275,33.81,33.82,16896.079999999998,1897.33,500.0,56.0,72964.0,242463616.0,33.230581656707415,1.7137484273664232,41081.0,31883.0,0.5630310838221588,moneyflow_dc,94.97,True,True,True,True,False,BUY
603698.SH,航天工程,20260302,20260227,2026-03-02 16:33:14,20260227,5.3769,0.94,1870069.11,1870069.11,16518.1627,53599.0,20260227,-630.38,-0.62,553.38,0.55,-1183.76,-1.17,20260302,38.38,31.4,14:59:47.630,36.37,34.89,4.241903124104319,36.95,34.27,0.7835820895522367,0.0003,2.7495188342054213,5.968262046088484,36.37,36.38,173335.22,29042.829999999998,4767.0,798.0,371223.0,1322967424.0,35.638078028570426,2.012433245613339,194497.0,176727.0,0.5239357475156442,moneyflow_dc,94.93,True,True,True,True,False,BUY
600750.SH,华润江中,20260302,20260227,2026-03-02 16:33:14,20260227,0.4431,0.77,1580134.6365,1562911.8174,35476.9329,62868.5365,20260227,311.04,4.48,269.25,3.88,41.79,0.6,20260302,27.35,22.37,14:59:52.746,25.16,24.86,1.2067578439259885,25.3,24.66,0.7812499999999993,-0.0011,3.9745627980928315,4.484284517071779,25.15,25.16,27342.88,6097.49,1088.0,242.0,63860.0,159977872.0,25.05134231130598,0.4318668072099366,33916.0,29945.0,0.5310992796742875,moneyflow_dc,94.64,True,True,True,True,False,BUY
300627.SZ,华测导航,20260302,20260227,2026-03-02 16:33:14,20260227,1.5362,1.02,2976027.2497,2451175.6688,48226.8824,64811.6253,20260227,-1139.75,-3.02,-836.8,-2.22,-302.94,-0.8,20260302,45.38,30.26,15:29:36.840,38.61,37.82,2.0888418826017956,38.76,37.58,0.8728813559322046,0.001,2.5900025900020744,4.342606407899954,38.61,38.62,120494.30000000002,27747.0,3122.0,718.0,233217.0,892008384.0,38.24800010290845,0.9375806710477864,114133.0,119085.0,0.48938542216047715,moneyflow_dc,94.63,True,True,True,True,False,BUY
302132.SZ,中航成飞,20260302,20260227,2026-03-02 16:33:14,20260227,1.3592,0.7,21259158.9875,4662768.934,26826.8497,58606.9499,20260227,-5575.4,-8.8,-6916.17,-10.91,1340.76,2.12,20260302,95.47,63.65,15:29:10.260,82.91,79.56,4.210658622423321,83.21,80.3,0.8969072164948462,-0.0004,1.2061271257996764,5.160752013493814,82.91,82.92,89035.09999999999,17252.35,1074.0,208.0,297052.0,2441839360.0,82.20242112492089,0.8534300748752957,157884.0,139169.0,0.5315029018488345,moneyflow_dc,94.57,True,True,True,True,False,BUY
601225.SH,陕西煤业,20260302,20260227,2026-03-02 16:33:14,20260227,0.4466,1.24,22977150.0,22977150.0,336903.9335,969500.0,20260227,2235.63,2.19,-766.92,-0.75,3002.56,2.94,20260302,26.07,21.33,14:59:52.512,24.81,23.7,4.683544303797467,24.95,23.87,0.8703703703703697,0.0008,4.030632809351698,3.525712799607416,24.81,24.82,76731.78,21763.48,3094.0,876.0,1080481.0,2648894208.0,24.515879575855568,1.185491431456796,549302.0,531180.0,0.5083865426601671,moneyflow_dc,94.35,True,True,True,True,False,BUY
