ts_code,trade_date,cost_5pct,cost_95pct,weight_avg,winner_rate
002555.SZ,20260327,21.2,27.6,23.84,9.39
002548.SZ,20260327,5.2,7.0,6.15,27.96
300229.SZ,20260327,17.6,24.0,20.28,26.09
002706.SZ,20260327,10.4,12.8,11.34,16.93
002559.SZ,20260327,9.3,10.7,10.01,20.53
601216.SH,20260327,5.1,6.6,5.85,25.12
601789.SH,20260327,5.6,6.4,5.89,9.06
002553.SZ,20260327,22.9,27.9,24.19,33.18
300220.SZ,20260327,12.9,16.1,14.28,50.29
300188.SZ,20260327,12.4,16.8,14.35,1.72
300195.SZ,20260327,7.4,9.4,8.4,27.84
300196.SZ,20260327,16.3,20.5,18.15,43.31
300187.SZ,20260327,5.0,6.0,5.6,37.7
300345.SZ,20260327,7.9,9.4,8.46,30.79
300185.SZ,20260327,3.6,4.1,3.87,24.77
002556.SZ,20260327,5.7,7.1,6.52,41.83
300190.SZ,20260327,4.1,5.0,4.59,19.1
601011.SH,20260327,3.4,3.9,3.69,76.89
002560.SZ,20260327,9.3,11.5,10.22,28.68
002565.SZ,20260327,14.5,16.9,15.65,35.83
002577.SZ,20260327,15.2,21.6,18.52,8.31
300375.SZ,20260327,4.7,6.0,5.33,20.89
300192.SZ,20260327,17.4,23.4,19.84,18.99
300189.SZ,20260327,6.9,7.7,7.21,50.46
601992.SH,20260327,1.7,2.2,1.96,13.78
002563.SZ,20260327,5.2,6.1,5.56,18.75
601199.SH,20260327,5.5,6.2,5.87,42.33
300204.SZ,20260327,22.8,28.4,25.8,90.91
300214.SZ,20260327,7.0,8.3,7.65,35.64
300199.SZ,20260327,16.3,19.1,17.98,87.02
300200.SZ,20260327,9.3,11.9,10.17,27.09
002562.SZ,20260327,5.7,7.1,6.19,68.0
002564.SZ,20260327,6.2,8.6,7.35,8.19
002571.SZ,20260327,10.8,13.2,12.04,29.77
002568.SZ,20260327,17.2,26.8,21.57,7.69
300201.SZ,20260327,8.6,11.8,10.81,71.9
603328.SH,20260327,11.0,13.0,11.99,29.17
002579.SZ,20260327,11.3,12.5,11.96,28.47
601218.SH,20260327,6.7,7.9,7.35,15.48
002572.SZ,20260327,12.4,15.0,13.78,6.13
002573.SZ,20260327,3.6,4.2,4.17,47.96
002574.SZ,20260327,5.5,6.8,6.14,19.72
002576.SZ,20260327,17.7,19.5,18.68,42.35
603006.SH,20260327,12.0,14.4,13.56,11.24
002575.SZ,20260327,8.3,9.1,8.78,55.06
300206.SZ,20260327,13.3,15.5,14.5,32.15
300210.SZ,20260327,8.3,10.9,9.55,12.49
300209.SZ,20260327,9.8,11.0,10.43,25.03
002580.SZ,20260327,13.4,16.6,15.46,82.93
601566.SH,20260327,10.4,14.9,12.16,9.38
601113.SH,20260327,4.2,4.9,4.71,12.1
002578.SZ,20260327,3.5,4.5,3.82,62.87
300207.SZ,20260327,24.5,28.0,26.91,81.0
300212.SZ,20260327,10.8,14.0,12.12,38.56
601233.SH,20260327,14.8,24.0,19.27,40.53
601208.SH,20260327,28.2,34.5,30.92,33.21
300402.SZ,20260327,18.6,24.8,21.95,14.39
300218.SZ,20260327,14.6,17.8,16.53,20.38
002584.SZ,20260327,7.4,8.8,7.81,71.81
002582.SZ,20260327,10.2,12.6,11.18,59.46
601222.SH,20260327,5.6,6.8,6.33,62.32
300215.SZ,20260327,8.0,10.8,8.99,14.33
300257.SZ,20260327,14.2,35.4,26.53,45.35
300219.SZ,20260327,7.1,8.5,7.88,23.16
300222.SZ,20260327,10.7,13.3,12.02,24.48
300217.SZ,20260327,5.1,6.2,5.49,8.43
300221.SZ,20260327,9.4,11.8,10.52,34.15
002583.SZ,20260327,9.6,11.4,10.23,56.45
601599.SH,20260327,3.7,5.2,4.22,23.38
002590.SZ,20260327,12.0,15.5,13.27,28.34
300231.SZ,20260327,11.3,12.7,12.13,33.82
300227.SZ,20260327,10.3,13.3,11.83,34.32
300224.SZ,20260327,13.9,18.8,16.32,23.98
300228.SZ,20260327,9.0,11.1,9.53,54.23
300249.SZ,20260327,16.1,18.7,17.36,11.88
300226.SZ,20260327,24.8,29.5,27.2,11.67
