日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2026-01-20,0.22163892523877102,9.11,8.35,9.74,0.07684317137143896,8.58,9.58,0.05466974595842958
2026-01-21,0.2269023494102776,9.11,8.35,9.74,0.07684317137143896,8.58,9.58,0.05466974595842958
2026-01-22,0.2968042310906217,9.11,8.35,9.74,0.07684317137143896,8.6,9.58,0.05362245010963703
2026-01-23,0.3158798847101263,9.11,8.35,9.74,0.07684317137143896,8.6,9.58,0.05362245010963703
2026-01-26,0.279396339034135,9.09,8.35,9.74,0.07684317137143896,8.6,9.58,0.05362245010963703
2026-01-27,0.27633114013490306,9.09,8.35,9.74,0.07684317137143896,8.6,9.56,0.052681755196304955
2026-01-28,0.2460152780671792,9.09,8.35,9.74,0.07684317137143896,8.6,9.56,0.052681755196304955
2026-01-29,0.22963973222893044,9.09,8.35,9.74,0.07684317137143896,8.6,9.56,0.052681755196304955
2026-01-30,0.23259638548645534,9.07,8.35,9.72,0.07592097445038629,8.62,9.56,0.05163643343890973
2026-02-02,0.15554476519299187,9.07,8.35,9.72,0.07592097445038629,8.62,9.56,0.05163643343890973
2026-02-03,0.21219927848920442,9.07,8.35,9.72,0.07592097445038629,8.62,9.56,0.05163643343890973
2026-02-04,0.3293488838018159,9.07,8.35,9.72,0.07592097445038629,8.62,9.56,0.05163643343890973
2026-02-05,0.3715206866899145,9.07,8.35,9.72,0.07592097445038629,8.62,9.54,0.05069376443418014
2026-02-06,0.38087013739259734,9.05,8.35,9.72,0.07592097445038629,8.64,9.54,0.04965041676818242
2026-02-09,0.6382279704161545,9.05,8.35,9.72,0.07592097445038629,8.64,9.54,0.04965041676818242
2026-02-10,0.686812474496581,9.07,8.37,9.72,0.07484724484231067,8.66,9.52,0.04766440009745502
