代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
688539,,51.29,0.8653,55409199.999999985,8.091992548161794,-8.304393989836584,A:机构锁仓,"中盘锁仓(市值53.7亿): 主力8.091992548161794%, 小单-8.304393989836584%"
002428,云南锗业,31.2,1.069,134283900.00000006,8.069361243625185,-6.3882510781974196,"A:机构锁仓,B:低位起爆","涨幅1.069%, 主力流入13428万, 昨日流出-22296万 | 中盘锁仓(市值203.7亿): 主力8.069361243625185%, 小单-6.3882510781974196%"
603205,,28.24,3.2541,5437100.0,8.053061843844716,-4.74806429030421,A:机构锁仓,"小盘锁仓(市值11.7亿): 主力8.053061843844716%, 小单-4.74806429030421%"
002384,东山精密,88.0,2.936,404616499.9999998,8.026571413116725,-5.226931774971799,A:机构锁仓,"大盘锁仓(市值1220.0亿): 主力8.026571413116725%, 小单-5.226931774971799%"
603086,先达股份,8.34,0.9685,6767400.000000001,7.958572709001177,-6.809251978956131,A:机构锁仓,"小盘锁仓(市值36.3亿): 主力7.958572709001177%, 小单-6.809251978956131%"
002148,北纬科技,8.66,0.9324,6605200.0,7.931902267752858,-5.477109889665841,A:机构锁仓,"小盘锁仓(市值38.9亿): 主力7.931902267752858%, 小单-5.477109889665841%"
600984,建设机械,4.05,-2.4096,12664600.000000002,7.925580770357992,-5.351641308512977,A:机构锁仓,"中盘锁仓(市值50.9亿): 主力7.925580770357992%, 小单-5.351641308512977%"
001205,盛航股份,17.29,0.0579,5210199.999999999,7.911724097884345,-9.246947121812351,A:机构锁仓,"小盘锁仓(市值27.6亿): 主力7.911724097884345%, 小单-9.246947121812351%"
002637,赞宇科技,10.39,1.6634,7576000.000000001,7.845504291483599,-5.816505273756063,A:机构锁仓,"小盘锁仓(市值46.0亿): 主力7.845504291483599%, 小单-5.816505273756063%"
301208,中亦科技,40.69,2.6488,28590699.999999996,7.80665696851859,-11.391023470812598,"A:机构锁仓,B:低位起爆","涨幅2.6488%, 主力流入2859万, 昨日流出-1685万 | 小盘锁仓(市值20.4亿): 主力7.80665696851859%, 小单-11.391023470812598%"
301632,,24.38,1.0361,4602599.999999999,7.73744088908518,-6.259752073740399,A:机构锁仓,"小盘锁仓(市值16.8亿): 主力7.73744088908518%, 小单-6.259752073740399%"
002836,新宏泽,15.78,6.6216,12413600.000000002,7.713683594735632,-11.295311879173402,A:机构锁仓,"小盘锁仓(市值36.4亿): 主力7.713683594735632%, 小单-11.295311879173402%"
603275,,42.86,1.8052,6824500.0,7.67929508335847,-7.313925149507419,A:机构锁仓,"小盘锁仓(市值17.8亿): 主力7.67929508335847%, 小单-7.313925149507419%"
300542,新晨科技,20.58,3.9394,39565300.00000001,7.659501664539479,-9.14397984905609,A:机构锁仓,"中盘锁仓(市值51.0亿): 主力7.659501664539479%, 小单-9.14397984905609%"
300778,新城市,14.06,9.0768,14795500.00000001,7.642150047055102,-5.964652787224691,A:机构锁仓,"小盘锁仓(市值28.6亿): 主力7.642150047055102%, 小单-5.964652787224691%"
605100,华丰股份,43.53,2.2791,16910400.0,7.637617488257948,-9.356695669957222,A:机构锁仓,"中盘锁仓(市值74.0亿): 主力7.637617488257948%, 小单-9.356695669957222%"
300719,安达维尔,18.18,3.2368,25300600.000000004,7.620527087852469,-6.194407878997189,A:机构锁仓,"小盘锁仓(市值32.7亿): 主力7.620527087852469%, 小单-6.194407878997189%"
